"","RouteDataID","CountryNum","StateNum","Route","RPID","Year","AOU","seq","family","genus","species","Count10","Count20","Count30","Count40","Count50","StopTotal","SpeciesTotal","RouteYear"
"2112",6194089,124,68,15,101,1984,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",1,1,0,3,1,5,6,151984
"2113",6197526,124,68,15,101,1985,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,0,5,8,0,4,13,151985
"2114",6197526,124,68,15,101,1985,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",0,10,10,24,25,21,69,151985
"2115",6197526,124,68,15,101,1985,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",14,0,6,13,4,16,37,151985
"2116",6197526,124,68,15,101,1985,6160,1027,"Hirundinidae","Riparia","Bank Swallow",25,0,0,0,6,2,31,151985
"2117",6197526,124,68,15,101,1985,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",0,3,0,0,1,2,4,151985
"2118",6200975,124,68,15,101,1986,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,0,0,0,2,1,2,151986
"2119",6200975,124,68,15,101,1986,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",0,44,18,27,61,22,150,151986
"2120",6200975,124,68,15,101,1986,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",12,2,12,3,14,17,43,151986
"2121",6200975,124,68,15,101,1986,6160,1027,"Hirundinidae","Riparia","Bank Swallow",0,3,6,0,6,7,15,151986
"2122",6200975,124,68,15,101,1986,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",3,0,0,0,10,2,13,151986
"2123",6204475,124,68,15,101,1987,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,0,8,0,2,3,10,151987
"2124",6204475,124,68,15,101,1987,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",5,11,7,7,40,14,70,151987
"2125",6204475,124,68,15,101,1987,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",8,12,2,3,24,16,49,151987
