Seq,AOU,common_name,ORDER,Family,Genus,Species
1189,6190,Cedar Waxwing,Passeriformes,Bombycillidae,Bombycilla,cedrorum
1190,6185,unid. Cedar Waxwing / Bohemian Waxwing,Passeriformes,Bombycillidae,Bombycilla,garrulus / cedrorum
1192,6200,Phainopepla,Passeriformes,Ptiliogonatidae,Phainopepla,nitens
1193,6510,Olive Warbler,Passeriformes,Peucedramidae,Peucedramus,taeniatus
1195,19500,Northern Red Bishop,Passeriformes,Ploceidae,Euplectes,franciscanus
1199,6882,House Sparrow,Passeriformes,Passeridae,Passer,domesticus
1200,6883,Eurasian Tree Sparrow,Passeriformes,Passeridae,Passer,montanus
1201,6960,Eastern Yellow Wagtail,Passeriformes,Motacillidae,Motacilla,tschutschensis
1204,6940,White Wagtail,Passeriformes,Motacillidae,Motacilla,alba
1208,6990,Red-throated Pipit,Passeriformes,Motacillidae,Anthus,cervinus
1209,6970,American Pipit,Passeriformes,Motacillidae,Anthus,rubescens
1210,7000,Sprague's Pipit,Passeriformes,Motacillidae,Anthus,spragueii
1220,5140,Evening Grosbeak,Passeriformes,Fringillidae,Coccothraustes,vespertinus
1223,5150,Pine Grosbeak,Passeriformes,Fringillidae,Pinicola,enucleator
1226,5240,Gray-crowned Rosy-Finch,Passeriformes,Fringillidae,Leucosticte,tephrocotis
1227,5250,Black Rosy-Finch,Passeriformes,Fringillidae,Leucosticte,atrata
1228,5260,Brown-capped Rosy-Finch,Passeriformes,Fringillidae,Leucosticte,australis
1229,5190,House Finch,Passeriformes,Fringillidae,Haemorhous,mexicanus
1230,5170,Purple Finch,Passeriformes,Fringillidae,Haemorhous,purpureus
1231,5180,Cassin's Finch,Passeriformes,Fringillidae,Haemorhous,cassinii
1232,5195,unid. Purple Finch / Cassin's Finch / House Finch,Passeriformes,Fringillidae,Carpodacus,purpureus / cassinii / mexicanus
1235,5280,Common Redpoll,Passeriformes,Fringillidae,Acanthis,flammea
1236,5270,Hoary Redpoll,Passeriformes,Fringillidae,Acanthis,hornemanni
1237,5275,unid. Common Redpoll / Hoary Redpoll,Passeriformes,Fringillidae,Carduelis,flammea / hornemanni
1238,5210,Red Crossbill,Passeriformes,Fringillidae,Loxia,curvirostra
1240,5212,Unid. Red Crossbill / Cassia Crossbill,Passeriformes,Fringillidae,Loxia,curvirostra / sinesciuris
1241,5220,White-winged Crossbill,Passeriformes,Fringillidae,Loxia,leucoptera
1242,5225,unid. Red Crossbill / White-winged Crossbill,Passeriformes,Fringillidae,Loxia,curvirostra / leucoptera
1245,5330,Pine Siskin,Passeriformes,Fringillidae,Spinus,pinus
1248,5300,Lesser Goldfinch,Passeriformes,Fringillidae,Spinus,psaltria
1249,5310,Lawrence's Goldfinch,Passeriformes,Fringillidae,Spinus,lawrencei
1250,5290,American Goldfinch,Passeriformes,Fringillidae,Spinus,tristis
1251,5360,Lapland Longspur,Passeriformes,Calcariidae,Calcarius,lapponicus
1252,5380,Chestnut-collared Longspur,Passeriformes,Calcariidae,Calcarius,ornatus
1253,5370,Smith's Longspur,Passeriformes,Calcariidae,Calcarius,pictus
1254,5390,McCown's Longspur,Passeriformes,Calcariidae,Rhynchophanes,mccownii
1255,5340,Snow Bunting,Passeriformes,Calcariidae,Plectrophenax,nivalis
1270,5860,Olive Sparrow,Passeriformes,Passerellidae,Arremonops,rufivirgatus
1275,5900,Green-tailed Towhee,Passeriformes,Passerellidae,Pipilo,chlorurus
1276,5880,Spotted Towhee,Passeriformes,Passerellidae,Pipilo,maculatus
1277,5870,Eastern Towhee,Passeriformes,Passerellidae,Pipilo,erythrophthalmus
1278,5871,unid. Spotted Towhee / Eastern Towhee,Passeriformes,Emberizidae,Pipilo,maculatus / erythrophthalmus
1280,5800,Rufous-crowned Sparrow,Passeriformes,Passerellidae,Aimophila,ruficeps
1285,5910,Canyon Towhee,Passeriformes,Passerellidae,Melozone,fusca
1287,5911,California Towhee,Passeriformes,Passerellidae,Melozone,crissalis
1288,5920,Abert's Towhee,Passeriformes,Passerellidae,Melozone,aberti
1290,5790,Rufous-winged Sparrow,Passeriformes,Passerellidae,Peucaea,carpalis
1294,5760,Botteri's Sparrow,Passeriformes,Passerellidae,Peucaea,botterii
1295,5780,Cassin's Sparrow,Passeriformes,Passerellidae,Peucaea,cassinii
1296,5750,Bachman's Sparrow,Passeriformes,Passerellidae,Peucaea,aestivalis
1298,5590,American Tree Sparrow,Passeriformes,Passerellidae,Spizelloides,arborea
1299,5600,Chipping Sparrow,Passeriformes,Passerellidae,Spizella,passerina
1300,5610,Clay-colored Sparrow,Passeriformes,Passerellidae,Spizella,pallida
1301,5620,Brewer's Sparrow,Passeriformes,Passerellidae,Spizella,breweri
1302,5630,Field Sparrow,Passeriformes,Passerellidae,Spizella,pusilla
1304,5650,Black-chinned Sparrow,Passeriformes,Passerellidae,Spizella,atrogularis
1305,5400,Vesper Sparrow,Passeriformes,Passerellidae,Pooecetes,gramineus
1306,5520,Lark Sparrow,Passeriformes,Passerellidae,Chondestes,grammacus
1308,5730,Black-throated Sparrow,Passeriformes,Passerellidae,Amphispiza,bilineata
1309,5738,Sagebrush Sparrow,Passeriformes,Passerellidae,Artemisiospiza,nevadensis
1310,5739,Bell's Sparrow,Passeriformes,Passerellidae,Artemisiospiza,belli
1311,5740,unid. Sagebrush Sparrow / Bell's Sparrow,Passeriformes,Emberizidae,Artemisiospiza,nevadensis / belli
1312,6050,Lark Bunting,Passeriformes,Passerellidae,Calamospiza,melanocorys
1313,5420,Savannah Sparrow,Passeriformes,Passerellidae,Passerculus,sandwichensis
1314,5460,Grasshopper Sparrow,Passeriformes,Passerellidae,Ammodramus,savannarum
1315,5450,Baird's Sparrow,Passeriformes,Passerellidae,Ammodramus,bairdii
1316,5470,Henslow's Sparrow,Passeriformes,Passerellidae,Ammodramus,henslowii
1317,5480,LeConte's Sparrow,Passeriformes,Passerellidae,Ammodramus,leconteii
1318,5491,Nelson's Sparrow,Passeriformes,Passerellidae,Ammodramus,nelsoni
1319,5490,Saltmarsh Sparrow,Passeriformes,Passerellidae,Ammodramus,caudacutus
1320,5500,Seaside Sparrow,Passeriformes,Passerellidae,Ammodramus,maritimus
1322,5850,Fox Sparrow,Passeriformes,Passerellidae,Passerella,iliaca
1323,5810,Song Sparrow,Passeriformes,Passerellidae,Melospiza,melodia
1324,5830,Lincoln's Sparrow,Passeriformes,Passerellidae,Melospiza,lincolnii
1325,5840,Swamp Sparrow,Passeriformes,Passerellidae,Melospiza,georgiana
1327,5580,White-throated Sparrow,Passeriformes,Passerellidae,Zonotrichia,albicollis
1328,5530,Harris's Sparrow,Passeriformes,Passerellidae,Zonotrichia,querula
1329,5540,White-crowned Sparrow,Passeriformes,Passerellidae,Zonotrichia,leucophrys
1330,5570,Golden-crowned Sparrow,Passeriformes,Passerellidae,Zonotrichia,atricapilla
1331,5670,(Slate-colored Junco) Dark-eyed Junco,Passeriformes,Emberizidae,Junco,hyemalis hyemalis
1332,5671,(Oregon Junco) Dark-eyed Junco,Passeriformes,Emberizidae,Junco,hyemalis oreganus
1333,5680,(Pink-sided Junco) Dark-eyed Junco,Passeriformes,Emberizidae,Junco,hyemalis mearnsi
1334,5660,(White-winged Junco) Dark-eyed Junco,Passeriformes,Emberizidae,Junco,hyemalis aikeni
1335,5690,(Gray-headed Junco) Dark-eyed Junco,Passeriformes,Emberizidae,Junco,hyemalis caniceps
1336,5677,(unid. race) Dark-eyed Junco,Passeriformes,Passerellidae,Junco,hyemalis
1338,5700,Yellow-eyed Junco,Passeriformes,Passerellidae,Junco,phaeonotus
1342,6830,Yellow-breasted Chat,Passeriformes,Icteriidae,Icteria,virens
1343,4970,Yellow-headed Blackbird,Passeriformes,Icteridae,Xanthocephalus,xanthocephalus
1344,4940,Bobolink,Passeriformes,Icteridae,Dolichonyx,oryzivorus
1345,5010,Eastern Meadowlark,Passeriformes,Icteridae,Sturnella,magna
1346,5011,Western Meadowlark,Passeriformes,Icteridae,Sturnella,neglecta
1347,5012,unid. Eastern Meadowlark / Western Meadowlark,Passeriformes,Icteridae,Sturnella,magna / neglecta
1355,5060,Orchard Oriole,Passeriformes,Icteridae,Icterus,spurius
1356,5050,Hooded Oriole,Passeriformes,Icteridae,Icterus,cucullatus
1360,5080,Bullock's Oriole,Passeriformes,Icteridae,Icterus,bullockii
1362,5032,Spot-breasted Oriole,Passeriformes,Icteridae,Icterus,pectoralis
1363,5031,Altamira Oriole,Passeriformes,Icteridae,Icterus,gularis
1364,5030,Audubon's Oriole,Passeriformes,Icteridae,Icterus,graduacauda
1365,5070,Baltimore Oriole,Passeriformes,Icteridae,Icterus,galbula
1366,5078,hybrid Bullock's Oriole x Baltimore Oriole,Passeriformes,Icteridae,Icterus,bullockii x galbula
1367,5077,unid. Bullock's Oriole / Baltimore Oriole,Passeriformes,Icteridae,Icterus,bullockii / galbula
1369,5040,Scott's Oriole,Passeriformes,Icteridae,Icterus,parisorum
1370,4980,Red-winged Blackbird,Passeriformes,Icteridae,Agelaius,phoeniceus
1371,5000,Tricolored Blackbird,Passeriformes,Icteridae,Agelaius,tricolor
1373,4961,Shiny Cowbird,Passeriformes,Icteridae,Molothrus,bonariensis
1374,4960,Bronzed Cowbird,Passeriformes,Icteridae,Molothrus,aeneus
1375,4950,Brown-headed Cowbird,Passeriformes,Icteridae,Molothrus,ater
1377,4955,unid. Bronzed Cowbird / Brown-headed Cowbird,Passeriformes,Icteridae,Molothrus,aeneus / ater
1379,5090,Rusty Blackbird,Passeriformes,Icteridae,Euphagus,carolinus
1380,5100,Brewer's Blackbird,Passeriformes,Icteridae,Euphagus,cyanocephalus
1381,5110,Common Grackle,Passeriformes,Icteridae,Quiscalus,quiscula
1382,5130,Boat-tailed Grackle,Passeriformes,Icteridae,Quiscalus,major
1383,5120,Great-tailed Grackle,Passeriformes,Icteridae,Quiscalus,mexicanus
1384,5135,unid. Boat-tailed Grackle / Great-tailed Grackle,Passeriformes,Icteridae,Quiscalus,major / mexicanus
1385,6740,Ovenbird,Passeriformes,Parulidae,Seiurus,aurocapilla
1386,6390,Worm-eating Warbler,Passeriformes,Parulidae,Helmitheros,vermivorum
1387,6760,Louisiana Waterthrush,Passeriformes,Parulidae,Parkesia,motacilla
1388,6750,Northern Waterthrush,Passeriformes,Parulidae,Parkesia,noveboracensis
1389,6420,Golden-winged Warbler,Passeriformes,Parulidae,Vermivora,chrysoptera
1390,6410,Blue-winged Warbler,Passeriformes,Parulidae,Vermivora,cyanoptera
1391,6412,Brewster's Warbler (Golden-winged x Blue-winged),Passeriformes,Parulidae,Vermivora,cyanoptera x chrysoptera
1392,6413,Lawrence's Warbler (Golden-winged x Blue-winged),Passeriformes,Parulidae,Vermivora,chrysoptera x cyanoptera
1393,6360,Black-and-white Warbler,Passeriformes,Parulidae,Mniotilta,varia
1394,6370,Prothonotary Warbler,Passeriformes,Parulidae,Protonotaria,citrea
1395,6380,Swainson's Warbler,Passeriformes,Parulidae,Limnothlypis,swainsonii
1397,6470,Tennessee Warbler,Passeriformes,Parulidae,Oreothlypis,peregrina
1398,6460,Orange-crowned Warbler,Passeriformes,Parulidae,Oreothlypis,celata
1400,6430,Lucy's Warbler,Passeriformes,Parulidae,Oreothlypis,luciae
1401,6450,Nashville Warbler,Passeriformes,Parulidae,Oreothlypis,ruficapilla
1402,6440,Virginia's Warbler,Passeriformes,Parulidae,Oreothlypis,virginiae
1403,6780,Connecticut Warbler,Passeriformes,Parulidae,Oporornis,agilis
1405,6800,MacGillivray's Warbler,Passeriformes,Parulidae,Geothlypis,tolmiei
1406,6790,Mourning Warbler,Passeriformes,Parulidae,Geothlypis,philadelphia
1407,6770,Kentucky Warbler,Passeriformes,Parulidae,Geothlypis,formosa
1411,6810,Common Yellowthroat,Passeriformes,Parulidae,Geothlypis,trichas
1413,6840,Hooded Warbler,Passeriformes,Parulidae,Setophaga,citrina
1414,6870,American Redstart,Passeriformes,Parulidae,Setophaga,ruticilla
1415,6700,Kirtland's Warbler,Passeriformes,Parulidae,Setophaga,kirtlandii
1416,6500,Cape May Warbler,Passeriformes,Parulidae,Setophaga,tigrina
1417,6580,Cerulean Warbler,Passeriformes,Parulidae,Setophaga,cerulea
1418,6480,Northern Parula,Passeriformes,Parulidae,Setophaga,americana
1419,6490,Tropical Parula,Passeriformes,Parulidae,Setophaga,pitiayumi
1420,6570,Magnolia Warbler,Passeriformes,Parulidae,Setophaga,magnolia
1421,6600,Bay-breasted Warbler,Passeriformes,Parulidae,Setophaga,castanea
1422,6620,Blackburnian Warbler,Passeriformes,Parulidae,Setophaga,fusca
1423,6520,Yellow Warbler,Passeriformes,Parulidae,Setophaga,petechia
1424,6590,Chestnut-sided Warbler,Passeriformes,Parulidae,Setophaga,pensylvanica
1425,6610,Blackpoll Warbler,Passeriformes,Parulidae,Setophaga,striata
1426,6540,Black-throated Blue Warbler,Passeriformes,Parulidae,Setophaga,caerulescens
1427,6720,Palm Warbler,Passeriformes,Parulidae,Setophaga,palmarum
1428,6710,Pine Warbler,Passeriformes,Parulidae,Setophaga,pinus
1429,6550,(Myrtle Warbler) Yellow-rumped Warbler,Passeriformes,Parulidae,Setophaga,coronata coronata
1430,6560,(Audubon's Warbler) Yellow-rumped Warbler,Passeriformes,Parulidae,Setophaga,coronata audoboni
1431,6556,(unid. Myrtle/Audubon's) Yellow-rumped Warbler,Passeriformes,Parulidae,Setophaga,coronata
1432,6630,Yellow-throated Warbler,Passeriformes,Parulidae,Setophaga,dominica
1433,6730,Prairie Warbler,Passeriformes,Parulidae,Setophaga,discolor
1434,6640,Grace's Warbler,Passeriformes,Parulidae,Setophaga,graciae
1435,6650,Black-throated Gray Warbler,Passeriformes,Parulidae,Setophaga,nigrescens
1436,6680,Townsend's Warbler,Passeriformes,Parulidae,Setophaga,townsendi
1437,6690,Hermit Warbler,Passeriformes,Parulidae,Setophaga,occidentalis
1438,6686,hybrid Townsend's Warbler x Hermit Warbler,Passeriformes,Icteridae,Icterus,townsendi x occidentalis
1439,6685,unid. Townsend's Warbler / Hermit Warbler,Passeriformes,Parulidae,Setophaga,townsendi / occidentalis
1440,6660,Golden-cheeked Warbler,Passeriformes,Parulidae,Setophaga,chrysoparia
1441,6670,Black-throated Green Warbler,Passeriformes,Parulidae,Setophaga,virens
1446,6860,Canada Warbler,Passeriformes,Parulidae,Cardellina,canadensis
1447,6850,Wilson's Warbler,Passeriformes,Parulidae,Cardellina,pusilla
1448,6900,Red-faced Warbler,Passeriformes,Parulidae,Cardellina,rubrifrons
1451,6880,Painted Redstart,Passeriformes,Parulidae,Myioborus,pictus
1454,6090,Hepatic Tanager,Passeriformes,Cardinalidae,Piranga,flava
1455,6100,Summer Tanager,Passeriformes,Cardinalidae,Piranga,rubra
1456,6080,Scarlet Tanager,Passeriformes,Cardinalidae,Piranga,olivacea
1457,6070,Western Tanager,Passeriformes,Cardinalidae,Piranga,ludoviciana
1465,5930,Northern Cardinal,Passeriformes,Cardinalidae,Cardinalis,cardinalis
1466,5940,Pyrrhuloxia,Passeriformes,Cardinalidae,Cardinalis,sinuatus
1467,5935,unid. Northern Cardinal / Pyrrhuloxia,Passeriformes,Cardinalidae,Cardinalis,cardinalis / sinuatus
1469,5950,Rose-breasted Grosbeak,Passeriformes,Cardinalidae,Pheucticus,ludovicianus
1470,5960,Black-headed Grosbeak,Passeriformes,Cardinalidae,Pheucticus,melanocephalus
1476,5970,Blue Grosbeak,Passeriformes,Cardinalidae,Passerina,caerulea
1477,5990,Lazuli Bunting,Passeriformes,Cardinalidae,Passerina,amoena
1478,5980,Indigo Bunting,Passeriformes,Cardinalidae,Passerina,cyanea
1479,5986,hybrid Lazuli Bunting x Indigo Bunting,Passeriformes,Cardinalidae,Passerina,amoena x cyanea
1482,6000,Varied Bunting,Passeriformes,Cardinalidae,Passerina,versicolor
1483,6010,Painted Bunting,Passeriformes,Cardinalidae,Passerina,ciris
1484,6040,Dickcissel,Passeriformes,Cardinalidae,Spiza,americana
